Frame,Timestamp (s)
0,0.09514021873474121
1,0.14846301078796387
2,0.19926023483276367
3,0.251511812210083
4,0.3016805648803711
5,0.3497958183288574
6,0.40403318405151367
7,0.4527404308319092
8,0.5072462558746338
9,0.5561394691467285
10,0.6073706150054932
11,0.6589765548706055
12,0.7168571949005127
13,0.7690298557281494
14,0.8260498046875
15,0.8813931941986084
16,0.9360835552215576
17,0.9891383647918701
18,1.0448553562164307
19,1.1088523864746094
20,1.1645276546478271
21,1.2126219272613525
22,1.268519639968872
23,1.3171520233154297
24,1.3702876567840576
25,1.4251868724822998
26,1.4803614616394043
27,1.5328309535980225
28,1.5878016948699951
29,1.6382944583892822
